Должность,min,max
Business analyst,200,5000
DBA,380,6000
Data Scientist / Data Analyst,150,8000
Designer,100,4000
DevOps,194,10000
Director of Engineering / Program Director,1500,34000
ERP / CRM,100,6000
Game designer,150,6800
HR,100,7000
HTML coder,154,3000
Junior QA engineer,96,2000
Junior Software Engineer,75,2600
Marketing,100,4000
Product Manager,250,5000
Project manager,190,8000
QA Tech Lead,430,6000
QA engineer,150,2900
Research Engineer,114,4000
Sales manager,120,2300
Scrum Master,370,4500
Security Specialist,300,4000
Senior Project Manager / Program Manager,200,9100
Senior QA engineer,400,6000
Senior Software Engineer,350,9200
Software Engineer,100,7000
Support,138,3650
Sysadmin,90,3000
System Architect,400,10000
Talent Researcher,100,1700
Team lead,300,7000
Technical Lead,500,18000
Technical writer,200,3000
